,Islamic Month,Date,City,State,Country,Obs Time,Cloud Level,Atmosphere,Visibility,V Eye,V Binocular,V Telescope,V CCD
0,kea41,Sun 21 June 2020 ,حاسي بحبح ,الجلفة,Algeria ,After sunset,clear,clear,Not Seen,not seen,not sought,not sought,not sought
1,kea41,Sun 21 June 2020 ,قمار,الوادي,Algeria ,After sunset,clear,clear,Not Seen,not seen,not sought,not sought,not sought
2,kea41,Sun 21 June 2020 ,كوينين,الوادي,Algeria ,After sunset,clear,superb,Not Seen,not seen,not seen,not sought,not sought
3,kea41,Sun 21 June 2020 ,Shahreza,Isfahan,Iran ,After sunset,clear,hazy,Not Seen,not sought,not seen,not sought,not sought
4,kea41,Sun 21 June 2020 ,الناظور,الشرق,Morocco ,After sunset,clear,superb,Not Seen,not seen,not sought,not sought,not sought
5,kea41,Sun 21 June 2020 ,طنجة,طنجة,Morocco ,After sunset,clear,superb,Not Seen,not seen,not seen,not sought,not sought
6,kea41,Sun 21 June 2020 ,ارفود,الراشيدية,Morocco ,After sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
7,kea41,Sun 21 June 2020 ,تاوريرت,تاوريرت,Morocco ,After sunset,clear,clear,Not Seen,not seen,not sought,not sought,not sought
8,kea41,Sun 21 June 2020 ,بنسليمان ,بنسليمان,Morocco ,After sunset,clear,superb,Not Seen,not seen,not sought,not sought,not sought
9,kea41,Sun 21 June 2020 ,TUCSON,ARIZONA,United States ,After sunset,clear,clear,Seen,not sought,not sought,seen,not sought
10,kea41,Sun 21 June 2020 ,Blacksburg,Virginia,United States ,After sunset,partly cloudy,very hazy,Not Seen,not sought,not seen,not sought,not sought
11,kea41,Mon 22 June 2020 ,الكويف,تبسة,Algeria ,After sunset,clear,clear,Seen,seen,not sought,not sought,not sought
12,kea41,Mon 22 June 2020 ,عجاجة,ورقلة,Algeria ,After sunset,clear,clear,Seen,not sought,not sought,not sought,not sought
13,kea41,Mon 22 June 2020 ,حاسي بحبح ,الجلفة,Algeria ,After sunset,clear,superb,Seen,seen,not sought,not sought,not sought
14,kea41,Mon 22 June 2020 ,باتنة,باتنة,Algeria ,After sunset,clear,clear,Seen,seen,seen,not sought,not sought
15,kea41,Mon 22 June 2020 ,عيسى,الجنوبية,Bahrain ,Before sunset,clear,superb,Photographed,not sought,not sought,not seen,seen
16,kea41,Mon 22 June 2020 ,Dhaka,Dhaka,Bangladesh ,After sunset,clear,clear,Seen,seen,not sought,not sought,not sought
17,kea41,Mon 22 June 2020 ,Munich,Bavaria,Germany ,Before sunset,partly cloudy,clear,Photographed,not sought,not sought,not sought,seen
18,kea41,Mon 22 June 2020 ,Szedres,Tolna,Hungary ,After sunset,clear,clear,Seen,seen,seen,not sought,not sought
19,kea41,Mon 22 June 2020 ,Surakarta,Central Java,Indonesia ,Before sunset,partly cloudy,hazy,Photographed,not seen,not seen,not seen,seen
20,kea41,Mon 22 June 2020 ,Surakarta,Central Java,Indonesia ,After sunset,partly cloudy,hazy,Seen,not seen,seen,seen,seen
21,kea41,Mon 22 June 2020 ,Ponorogo,Jawa Timur,Indonesia ,After sunset,partly cloudy,hazy,Photographed,not seen,not sought,not sought,seen
22,kea41,Mon 22 June 2020 ,Shahreza,Isfahan,Iran ,After sunset,clear,hazy,Seen,seen,seen,not sought,not sought
23,kea41,Mon 22 June 2020 ,مدينة الصدر,بغداد,Iraq ,After sunset,clear,superb,Seen,seen,not sought,not sought,not sought
24,kea41,Mon 22 June 2020 ,وادي السير,عمان,Jordan ,After sunset,clear,clear,Seen,seen,not sought,not sought,not sought
25,kea41,Mon 22 June 2020 ,Jasin,Melaka,Malaysia ,After sunset,partly cloudy,hazy,Seen,not seen,seen,not sought,not sought
26,kea41,Mon 22 June 2020 ,"Telok Kemang Observatory, Port Dickson",Negeri Sembilan,Malaysia ,Before sunset,partly cloudy,clear,Seen,not seen,not sought,seen,seen
27,kea41,Mon 22 June 2020 ,المحمدية,سيدي موسى بن علي,Morocco ,After sunset,clear,clear,Seen,seen,seen,not sought,not sought
28,kea41,Mon 22 June 2020 ,بنسليمان ,بنسليمان,Morocco ,After sunset,clear,clear,Seen,seen,not sought,not sought,not sought
29,kea41,Mon 22 June 2020 ,تاوريرت,تاوريرت,Morocco ,After sunset,partly cloudy,clear,Seen,seen,not sought,not sought,not sought
30,kea41,Mon 22 June 2020 ,طنجة,طنجة,Morocco ,After sunset,clear,superb,Seen,seen,seen,not sought,not sought
31,kea41,Mon 22 June 2020 ,كاتماندو,باغمتي,Nepal ,Before sunset,totally cloudy,hazy,Seen by others,seen,not sought,not sought,not sought
32,kea41,Mon 22 June 2020 ,مقيبلة,الشمال,Palestine ,After sunset,clear,clear,Seen,seen,not sought,seen,not sought
33,kea41,Mon 22 June 2020 ,جدة,مكة المكرمة,Saudi Arabia ,After sunset,clear,clear,Seen,seen,not sought,seen,not sought
34,kea41,Mon 22 June 2020 ,ABHA,Aseer,Saudi Arabia ,After sunset,partly cloudy,hazy,Seen,seen,seen,not sought,not sought
